title,email
고려대학교,korea
국민대학교,kookmin
한성대학교,hansung
한국교통대학교,ut
한림대학교,hallym
창원대학교,changwon
서울과학기술대학교,seoultech
서울대학교,snu
경희대학교,khu
수원대학교,suwon
전북대학교,jbnu
경일대학교,kiu
전주대학교,jj
가톨릭대학교,catholic
동명대학교,tu
인제대학교,inje
목포해양대학교,mmu
부산대학교,pusan
강원대학교,kangwon
한국외국어대학교,hufs
강동대학교,gangdong
영남대학교,yu
평택대학교,ptu
군산대학교,kunsan
경민대학교,kyungmin
중부대학교,joongbu
서경대학교,skuniv
안양대학교,anyang
충남대학교,cnu
계명대학교,kmu
청운대학교,chungwoon
숭의여자대학교,sewc
강릉원주대학교,gwnu
신라대학교,silla
연세대학교,yonsei
수성대학교,sc
동국대학교,dongguk
덕성여자대학교,duksung
장로회신대학교,puts
경북대학교,knu
신한대학교,shinhan
건국대학교,konkuk
울산대학교,ulsan
동양대학교,dyu
아주대학교,ajou
청주대학교,cju
대구한의대학교,dhu
서울시립대학교,uos
순천향대학교,sch
대구대학교,daegu
호서대학교,hoseo
동덕여자대학교,dongduk
세종대학교,sejong
한신대학교,hs
청강문화산업대학교,ck
경운대학교,ikw
가천대학교,gachon
순천대학교,scnu
공주대학교,kongju
영산대학교,ysu
한경대학교,hknu
백석대학교,bu
추계예술대학교,chugye
U1대학교,u1
단국대학교,dankook
서울교육대학교,snue
가톨릭관동대학교,cku
부경대학교,pknu
세한대학교,sehan
동양미래대학교,dongyang
충북대학교,chungbuk
남부대학교,nambu
계명문화대학교,kmcu
서강대학교,sogang
나사렛대학교,kornu
경북보건대학교,kcs
대전과학기술대학교,dst
연성대학교,yeonsung
조선대학교,chosun
금오공과대학교,kumoh
성신여자대학교,sungshin
삼육대학교,syu
동서대학교,dongseo
진주보건대학교,jhc
숙명여자대학교,sookmyung
한국기술교육대학교,koreatech
한국방송통신대학교,knou
성결대학교,sungkyul
서울사이버대학교,iscu
한밭대학교,hanbat
건양대학교,konyang
충북도립대학교,cpu
원광보건대학교,wu
용인대학교,yongin
인천대학교,inu
숭실사이버대학교,kcu
협성대학교,uhs
한양대학교,hanyang
국립한국해양대학교,kmou
한국영상대학교,pro
대구가톨릭대학교,cu
광주대학교,gwangju
서울여자대학교,swu
대구보건대학교,dhc
춘해보건대학교,ch
중앙대학교,cau
성균관대학교,skku
동남보건대학교,dongnam
경인교육대학교,ginue
강릉영동대학교,gyc
제주대학교,jejunu
대전대학교,dju
광주여자대학교,kwu
호남대학교,honam
국립목포대학교,mokpo
인하대학교,inha
배재대학교,pcu
한국산업기술대학교,kpu
총신대학교,chongshin
포항공과대학교,postech
청암대학교,scjc
이화여자대학교,ewha
부산외국어대학교,bufs
경기대학교,kyonggi
광운대학교,kw
명지대학교,mju
상명대학교,smu
성공회대학교,skhu
숭실대학교,ssu
강남대학교,kangnam
경상대학교,gnu
창신대학교,cs
전남과학대학교,cntu
한국성서대학교,bible
제주관광대학교,ctc
경남과학기술대학교,gntech
신성대학교,shinsung
한국전통문화대학교,nuch
공주교육대학교,gjue
