position,title,lat,lng,location_near,location_normal,location_far
1,파장동,37.309009,126.995284,"1, 6","1, 2, 6","1, 2, 3, 4, 5, 6,
  7, 8, 9, 10, 17, 25, 27, 28, 30, 34, 35, 36, 37, 38, 45"
2,정자동,37.297245,126.998233,"2, 7","1, 2, 5, 6, 7, 8, 38,
  39, 46","1, 2, 3, 4, 5, 6, 7,
  8, 9, 10, 11, 17, 18, 19, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39,
  40, 41, 42, 43, 44, 45, 46, 47, 48, 49"
3,이목동,37.316916,126.980559,3,"1, 3","1, 2, 3, 4, 5, 7, 8,
  10, 11, 26"
4,율전동,37.300276,126.96987,"4, 5","4, 5, 26","1, 2, 3, 4, 5, 6, 7,
  17, 18, 19, 20, 26, 27, 46"
5,천천동,37.297648,126.977745,"4, 5","2, 4, 5, 26","1, 2, 3, 4, 5, 6, 7,
  8, 17, 18, 19, 20, 26, 27, 28, 31, 37, 38, 39, 42, 45, 46"
6,영화동,37.290557,127.01172,"6, 37, 38, 39","2, 6, 7, 8, 9, 28,
  29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 45, 46, 47, 48","1, 2, 4, 5, 6, 7, 8,
  9, 11, 12, 13, 17, 18, 19, 23, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38,
  39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 52"
7,송죽동,37.302876,127.003244,"1, 2, 7","1, 2, 6, 7, 8","1, 2, 3, 4, 5, 6, 7,
  8, 9, 10, 11, 18, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 38, 39, 40, 42,
  43, 44, 45, 46, 47, 48"
8,조원동,37.299724,127.015538,8,"2, 6, 7, 8, 9, 11,
  35, 36, 37, 38, 39","1, 2, 3, 5, 6, 7, 8,
  9, 10, 11, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43,
  44, 45, 46, 47, 48, 49, 52"
9,연무동,37.294092,127.027021,9,"6, 8, 9, 28, 29, 31,
  35, 36, 37, 38, 39, 47, 48, 52","1, 2, 6, 7, 8, 9, 11,
  28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 45, 46, 47,
  48, 49, 50, 51, 52, 53"
10,상광교동,37.329657,127.015801,10,10,"1, 2, 3, 7, 8, 10, 11"
